"","ccode","year","warl","onset","gdpenl","lpopl1","lmtnest","Oil","ncontig","ethfrac","relfrac","nwstate","polity2l","instab","ccodeyear","totalwars","everwar"
"1312",200,1971,1,0,8.53699970245361,10.926513671875,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001971,1,1
"1313",200,1972,1,0,8.65499973297119,10.9318208694458,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001972,1,1
"1314",200,1973,1,0,8.97000026702881,10.9348373413086,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001973,1,1
"1315",200,1974,1,0,9.60499954223633,10.9370813369751,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001974,1,1
"1316",200,1975,1,0,9.41100025177002,10.9373121261597,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001975,1,1
"1317",200,1976,1,0,9.3120002746582,10.9371347427368,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001976,1,1
"1318",200,1977,1,0,9.54899978637695,10.9369564056396,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001977,1,1
"1319",200,1978,1,0,9.76900005340576,10.9364938735962,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001978,1,1
"1320",200,1979,1,0,10.1330003738403,10.9362802505493,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001979,1,1
"1321",200,1980,1,0,10.4379997253418,10.9374189376831,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001980,1,1
"1322",200,1981,1,0,10.1669998168945,10.938982963562,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001981,1,1
"1323",200,1982,1,0,10.0170001983643,10.9393730163574,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001982,1,1
"1324",200,1983,1,0,10.2170000076294,10.9385566711426,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001983,1,1
"1325",200,1984,1,0,10.625,10.939284324646,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001984,1,1
"1326",200,1985,1,0,10.8920001983643,10.9412879943848,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001985,1,1
"1327",200,1986,1,0,11.2370004653931,10.9440822601318,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001986,1,1
"1328",200,1987,1,0,11.7259998321533,10.9466400146484,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001987,1,1
"1329",200,1988,1,0,12.2829999923706,10.949577331543,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001988,1,1
"1330",200,1989,1,0,12.9689998626709,10.9519462585449,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001989,1,1
"1331",200,1990,1,0,13.2410001754761,10.9549379348755,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001990,1,1
"1332",200,1991,1,0,13.2170000076294,10.9579916000366,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001991,1,1
"1333",200,1992,1,0,12.8179998397827,10.9606523513794,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001992,1,1
"1334",200,1993,1,0,12.7239999771118,10.9655742645264,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001993,1,1
"1335",200,1994,1,0,12.9790000915527,10.9714860916138,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001994,1,1
"1336",200,1995,1,0,13.5010004043579,10.9749851226807,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001995,1,1
"1337",200,1996,1,0,13.8269996643066,10.9785919189453,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001996,1,1
"1338",200,1997,1,0,14.1330003738403,10.9819307327271,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001997,1,1
"1339",200,1998,1,0,14.5780000686646,10.985445022583,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001998,1,1
"1340",200,1999,1,0,14.9010000228882,10.9862241744995,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001999,1,1
"1341",205,1945,0,0,2.00099992752075,7.99023818969727,0,0,0,0.0454303026199341,0.149600028991699,0,8,0,2051945,0,0
"1342",205,1946,0,0,2.00099992752075,7.99023818969727,0,0,0,0.0454303026199341,0.149600028991699,0,8,0,2051946,0,0
"1343",205,1947,0,0,2.14800000190735,7.99193048477173,0,0,0,0.0454303026199341,0.149600028991699,0,8,0,2051947,0,0
"1344",205,1948,0,0,2.26999998092651,7.99766302108765,0,0,0,0.0454303026199341,0.149600028991699,0,8,0,2051948,0,0
"1345",205,1949,0,0,2.3529999256134,8.00135517120361,0,0,0,0.0454303026199341,0.149600028991699,0,8,0,2051949,0,0
"1346",205,1950,0,0,2.61500000953674,8.00001430511475,0,0,0,0.0454303026199341,0.149600028991699,0,8,0,2051950,0,0
"1347",205,1951,0,0,2.73000001907349,7.99598026275635,0,0,0,0.0454303026199341,0.149600028991699,0,8,0,2051951,0,0
"1348",205,1952,0,0,2.8199999332428,7.99260663986206,0,0,0,0.0454303026199341,0.149600028991699,0,8,0,2051952,0,0
"1349",205,1953,0,0,2.80900001525879,7.98956060409546,0,0,0,0.0454303026199341,0.149600028991699,0,10,0,2051953,0,0
"1350",205,1954,0,0,2.91899991035461,7.98616504669189,0,0,0,0.0454303026199341,0.149600028991699,0,10,0,2051954,0,0
"1351",205,1955,0,0,2.94799995422363,7.98309898376465,0,0,0,0.0454303026199341,0.149600028991699,0,10,0,2051955,0,0
"1352",205,1956,0,0,3.08400011062622,7.97968149185181,0,0,0,0.0454303026199341,0.149600028991699,0,10,0,2051956,0,0
"1353",205,1957,0,0,3.00600004196167,7.97384452819824,0,0,0,0.0454303026199341,0.149600028991699,0,10,0,2051957,0,0
"1354",205,1958,0,0,2.96799993515015,7.96762657165527,0,0,0,0.0454303026199341,0.149600028991699,0,10,0,2051958,0,0
"1355",205,1959,0,0,2.9539999961853,7.96171903610229,0,0,0,0.0454303026199341,0.149600028991699,0,10,0,2051959,0,0
"1356",205,1960,0,0,3.1489999294281,7.95542526245117,0,0,0,0.0454303026199341,0.149600028991699,0,10,0,2051960,0,0
"1357",205,1961,0,0,3.31100010871887,7.94873857498169,0,0,0,0.0454303026199341,0.149600028991699,0,10,0,2051961,0,0
"1358",205,1962,0,0,3.47900009155273,7.94378280639648,0,0,0,0.0454303026199341,0.149600028991699,0,10,0,2051962,0,0
"1359",205,1963,0,0,3.61500000953674,7.94803190231323,0,0,0,0.0454303026199341,0.149600028991699,0,10,0,2051963,0,0
"1360",205,1964,0,0,3.76900005340576,7.95507431030273,0,0,0,0.0454303026199341,0.149600028991699,0,10,0,2051964,0,0
"1361",205,1965,0,0,3.92700004577637,7.95997476577759,0,0,0,0.0454303026199341,0.149600028991699,0,10,0,2051965,0,0
"1362",205,1966,0,0,4,7.96415567398071,0,0,0,0.0454303026199341,0.149600028991699,0,10,0,2051966,0,0
"1363",205,1967,0,0,4.00500011444092,7.9669337272644,0,0,0,0.0454303026199341,0.149600028991699,0,10,0,2051967,0,0
"1364",205,1968,0,0,4.16200017929077,7.97246599197388,0,0,0,0.0454303026199341,0.149600028991699,0,10,0,2051968,0,0
"1365",205,1969,0,0,4.51000022888184,7.97693872451782,0,0,0,0.0454303026199341,0.149600028991699,0,10,0,2051969,0,0
